scrapeTime,resultTime,temp
2025-04-16T23:56:07.959Z,2025-04-16T23:55:23.597Z,2.9
2025-04-17T01:59:53.244Z,2025-04-17T01:59:31.948Z,1.6
2025-04-17T03:08:25.748Z,2025-04-17T03:07:39.741Z,0.9
2025-04-17T04:29:12.025Z,2025-04-17T04:28:30.438Z,1.2
2025-04-17T05:24:35.842Z,2025-04-17T05:22:48.681Z,1.3
2025-04-17T06:34:25.083Z,2025-04-17T06:33:42.409Z,1.2
2025-04-17T07:25:11.780Z,2025-04-17T07:22:23.342Z,1.0
2025-04-17T08:32:10.167Z,2025-04-17T08:31:23.955Z,0.7
2025-04-17T09:27:03.503Z,2025-04-17T09:26:19.117Z,0.5
2025-04-17T10:26:52.455Z,2025-04-17T10:26:28.963Z,0.1
2025-04-17T11:19:41.778Z,2025-04-17T11:18:32.571Z,0.3
2025-04-17T12:50:33.567Z,2025-04-17T12:47:28.486Z,1.5
2025-04-17T13:32:25.574Z,2025-04-17T13:31:26.164Z,2.4
2025-04-17T14:23:50.032Z,2025-04-17T14:22:27.985Z,3.2
2025-04-17T15:25:54.679Z,2025-04-17T15:25:08.900Z,4.6
2025-04-17T16:30:50.652Z,2025-04-17T16:30:33.596Z,5.3
2025-04-17T17:22:24.791Z,2025-04-17T17:21:26.397Z,6.8
2025-04-17T18:33:29.830Z,2025-04-17T18:32:31.452Z,7.2
2025-04-17T19:19:06.259Z,2025-04-17T19:18:29.938Z,8.1
2025-04-17T20:26:18.626Z,2025-04-17T20:24:59.797Z,8.9
2025-04-17T21:22:35.543Z,2025-04-17T21:21:20.269Z,9.3
2025-04-17T22:23:12.022Z,2025-04-17T22:22:41.138Z,9.3
2025-04-17T23:22:44.140Z,2025-04-17T23:22:29.271Z,8.7
2025-04-18T01:54:54.314Z,2025-04-18T01:53:33.836Z,5.8
2025-04-18T03:04:10.674Z,2025-04-18T03:03:24.598Z,4.2
2025-04-18T04:28:28.294Z,2025-04-18T04:26:31.038Z,4.9
2025-04-18T05:24:17.026Z,2025-04-18T05:23:30.414Z,4.1
2025-04-18T06:34:14.839Z,2025-04-18T06:33:55.450Z,2.8
2025-04-18T07:25:06.094Z,2025-04-18T07:24:06.008Z,1.6
2025-04-18T08:31:04.711Z,2025-04-18T08:30:22.875Z,2.1
2025-04-18T09:26:52.136Z,2025-04-18T09:26:19.327Z,0.5
2025-04-18T10:27:30.381Z,2025-04-18T10:26:24.160Z,0.4
